-63.81,27.46,78.58,10.08,8.44,-78.73,30.56,75.13,-0.58,16.61,-58.09,24.13,74.85,17.18,20.91,-25.63,25.69,72.40,10.52,9.48,
-62.58,34.56,78.67,-9.77,12.59,-71.58,35.82,93.08,9.05,12.75,-56.74,31.53,68.62,11.33,17.34,-12.77,44.46,77.54,17.73,8.68,
-61.67,34.75,85.22,0.62,17.96,-68.26,31.88,103.66,4.55,11.47,-56.23,22.92,75.98,1.29,26.05,-40.24,15.60,128.42,-8.31,2.80,
-59.86,34.62,101.86,-24.24,18.48,-71.54,34.53,95.68,-0.09,18.79,-64.32,29.63,76.33,11.27,24.83,-37.04,32.74,103.47,-1.63,3.40,
-52.47,34.39,84.91,-40.43,8.71,-63.34,29.87,72.41,2.16,13.90,-48.63,22.55,62.91,8.69,23.13,-19.93,27.17,45.29,27.80,12.81,
-49.08,45.85,84.78,-8.23,14.70,-58.20,47.81,83.42,1.49,23.67,-51.69,31.36,69.21,9.53,22.59,-22.57,34.47,78.17,1.20,4.78,
-74.36,37.54,78.02,-6.63,17.19,-81.54,35.95,86.85,0.16,10.85,-62.81,25.87,63.69,7.16,15.26,-30.00,30.22,54.36,2.20,-4.40,
-53.73,37.57,91.93,1.20,19.90,-65.65,36.67,92.29,6.67,20.27,-58.55,24.81,62.05,13.90,20.00,-30.37,25.38,68.28,-2.50,-0.51,
-66.69,42.78,69.38,2.94,19.09,-73.35,39.76,88.16,-5.28,20.61,-57.64,27.56,70.07,11.91,27.10,-28.10,24.81,71.80,-15.84,-6.26,
-63.41,45.90,71.51,-5.94,12.52,-70.87,42.83,73.87,13.75,17.39,-57.84,33.93,68.93,13.95,23.41,-38.34,34.64,75.37,-2.21,-3.56,
-43.34,37.27,89.45,1.83,19.13,-44.26,31.70,65.27,3.77,28.46,-40.88,27.09,55.77,5.81,29.27,-3.49,31.68,61.70,6.44,-7.79,
-58.14,37.60,83.19,-25.71,21.30,-68.13,40.46,74.54,-1.65,12.75,-51.84,30.89,59.95,14.07,20.81,-17.59,27.01,64.74,-5.63,-6.49,
-65.90,52.32,95.67,-14.45,21.01,-71.56,43.17,89.28,4.92,20.34,-55.01,25.76,70.82,12.99,17.07,-41.53,22.44,87.04,-12.89,-13.07,
-60.08,42.82,54.72,-1.20,19.18,-64.29,42.35,113.44,-6.67,18.05,-44.84,31.21,57.76,17.53,18.60,-22.48,25.14,73.29,8.74,-0.76,
-65.03,50.32,86.79,-18.19,16.15,-71.85,50.56,101.18,-1.45,19.65,-63.15,42.95,77.44,13.77,30.77,-31.08,49.66,82.87,-12.44,3.87,
-79.97,47.00,83.68,-25.26,24.00,-79.31,44.26,105.96,-0.85,25.36,-60.52,37.28,77.94,14.04,34.06,-28.21,25.22,91.82,-11.21,10.50,
-54.16,58.85,84.59,-4.09,24.26,-57.58,42.08,60.62,-2.11,24.49,-44.14,29.66,57.28,15.18,27.77,-11.67,15.53,61.20,5.38,-7.86,
-65.69,53.00,81.84,-6.49,7.93,-71.54,43.67,67.63,19.27,5.92,-54.21,37.72,58.14,23.29,15.55,-37.25,27.60,60.17,6.65,-6.17,
-58.22,40.98,97.97,0.13,13.46,-64.97,37.36,67.72,13.77,11.51,-43.06,36.96,59.97,16.60,27.73,-12.64,37.81,69.78,2.56,3.75,
