78.08,17.62,48.51,-54.03,-39.47,79.70,6.93,4.30,-12.39,-24.27,69.91,7.83,-92.01,-3.18,-35.14,31.50,29.47,-30.75,30.01,-8.52,
80.45,8.36,35.26,-42.35,-23.04,85.83,-5.93,13.53,-22.51,-31.31,75.22,7.87,-103.22,-10.29,-40.21,26.96,33.41,-33.85,30.82,-14.60,
71.76,20.44,88.31,1.54,-46.79,74.27,0.89,32.88,-61.17,-18.74,74.47,1.08,-91.94,43.63,-30.14,20.92,26.21,-24.29,19.85,-8.04,
75.20,10.21,74.40,-30.30,-48.02,81.60,-1.47,19.03,-29.01,-39.25,77.31,3.49,-87.34,-32.35,-37.98,10.43,27.21,-14.33,24.29,-5.10,
84.96,1.72,21.15,9.29,-12.32,92.73,12.39,-10.85,-16.40,-36.33,68.73,-0.37,-92.29,-29.03,-42.15,19.44,24.61,-25.43,28.14,-19.63,
73.73,7.16,8.17,-64.17,-46.77,79.16,0.12,1.47,-18.82,-31.04,77.94,-0.22,-91.49,-20.86,-36.82,14.66,27.40,-19.23,27.38,-8.54,
76.50,8.02,21.59,-55.63,-49.85,78.26,5.73,4.44,-32.24,-39.99,74.37,-1.48,-102.27,-25.30,-39.71,24.07,23.83,-29.60,22.54,-14.11,
97.18,4.37,91.01,-11.24,-5.71,106.89,2.09,30.81,-38.18,-26.41,91.06,-2.06,-62.33,-30.10,-34.38,0.61,22.32,-5.93,19.47,-9.60,
111.24,15.50,44.00,-31.40,-48.56,112.50,14.00,12.72,-13.82,-28.16,94.30,-1.98,-101.45,-21.09,-37.87,31.81,25.39,-31.92,22.44,-1.96,
90.88,-3.60,44.57,-45.34,-26.55,98.03,4.73,6.17,-38.75,-35.69,90.87,13.83,-107.43,-0.11,-32.75,20.99,33.22,-26.94,32.13,-12.09,
69.54,14.77,67.14,-13.59,-33.99,70.28,10.28,72.19,6.28,-6.75,75.45,7.94,-100.45,-49.69,-37.02,9.41,27.12,-15.64,11.66,-7.25,
77.50,18.74,18.43,-51.40,-41.80,87.86,-0.58,2.60,-24.97,-25.92,75.41,-4.50,-98.41,-25.58,-41.70,18.73,23.62,-23.32,21.07,-14.53,
79.02,17.90,14.08,-68.58,-47.51,85.68,9.15,21.49,13.40,-29.95,88.89,-4.63,-118.13,-25.73,-46.44,26.19,25.65,-35.40,35.42,-18.71,
83.43,24.15,-3.52,-77.63,-51.96,81.93,-7.75,15.08,-25.60,-19.24,81.35,-1.43,-101.02,-31.82,-45.20,23.48,29.98,-29.38,29.67,-13.56,
88.80,7.37,12.34,-26.80,-12.30,92.22,1.12,5.62,-29.25,-37.00,76.24,6.20,-106.32,-14.49,-48.86,13.45,25.19,-22.00,25.43,-16.83,
95.63,4.72,22.98,-66.58,-44.45,98.64,6.30,0.49,-22.19,-34.56,91.50,5.11,-105.96,-24.04,-35.19,11.46,31.02,-19.47,36.83,-12.79,
84.75,6.07,47.23,-62.41,-44.67,87.80,10.86,24.34,5.62,-31.62,84.32,9.11,-101.20,-19.33,-41.26,28.69,32.31,-40.44,25.36,-17.39,
83.80,22.62,30.16,-17.08,-49.30,83.84,18.43,9.48,-24.03,-36.90,87.71,0.39,-90.67,-25.60,-49.05,13.60,30.17,-23.94,32.80,-18.93,
