-0.334,1.134,-2.019,-91.675,-194.580,-86.121
-0.608,0.977,-2.274,-128.174,-282.776,-158.264
-0.912,0.765,-2.209,-113.098,-372.620,-216.125
-1.272,0.440,-1.925,-57.861,-457.703,-255.249
-1.597,0.108,-1.356,-8.179,-538.391,-275.757
-1.888,-0.050,-0.632,30.273,-604.492,-277.100
-2.100,0.033,0.015,66.589,-637.390,-262.634
-2.201,0.328,0.741,86.792,-640.381,-248.047
-2.300,0.226,1.241,123.230,-636.230,-273.315
-2.126,-1.034,2.199,163.940,-635.376,-332.153
-1.724,-1.787,2.832,97.534,-568.542,-298.340
-1.356,-2.236,3.241,37.109,-492.310,-242.004
-1.144,-2.776,3.651,40.405,-426.208,-187.378
-1.011,-2.787,4.000,11.292,-352.295,-122.009
-0.941,-2.356,4.000,-1.099,-239.319,-48.401
-0.927,-2.001,4.000,42.297,-117.188,2.380
-0.891,-1.729,3.602,74.036,-15.259,34.241
-0.853,-1.361,3.192,73.364,65.430,64.087
-0.796,-0.890,2.900,60.120,120.789,90.210
-0.719,-0.641,2.614,52.124,165.100,101.379
-0.597,-0.626,2.416,30.457,203.918,100.525
-0.497,-0.669,2.393,-3.784,234.009,99.915
-0.440,-0.677,2.341,-22.949,263.855,103.577
-0.419,-0.689,2.307,-32.776,296.204,110.168
-0.456,-0.630,2.198,-36.072,327.820,116.699
-0.504,-0.450,1.900,-15.747,363.037,123.169
-0.520,-0.089,1.561,10.986,392.578,124.878
-0.475,0.008,1.264,41.931,404.419,104.980
-0.390,0.197,1.052,51.758,410.522,82.764
-0.312,0.406,0.970,20.020,417.969,69.031
-0.240,0.444,0.756,1.709,420.654,44.067
-0.220,0.398,0.474,5.676,417.664,16.846
-0.177,0.279,0.098,-1.038,409.851,-1.526
-0.109,0.089,-0.340,-12.085,393.005,-15.076
-0.014,-0.105,-0.735,-4.883,360.291,-24.719
0.093,-0.221,-1.074,7.141,314.270,-28.625
0.216,-0.261,-1.327,9.583,260.132,-27.161
0.244,-0.185,-1.501,7.385,197.937,-26.062
0.273,-0.207,-1.537,1.526,132.324,-29.663
0.264,-0.259,-1.485,-14.832,72.815,-39.001
0.226,-0.354,-1.470,-26.184,20.325,-49.072
0.172,-0.484,-1.419,-31.189,-30.701,-58.838
0.107,-0.591,-1.382,-38.879,-79.590,-69.214
0.017,-0.703,-1.346,-43.274,-128.845,-79.224
-0.097,-0.796,-1.283,-39.124,-179.504,-91.003
-0.211,-0.965,-1.163,-33.020,-229.736,-103.577
-0.326,-1.207,-0.886,-33.325,-281.555,-108.337
-0.424,-1.446,-0.499,-40.344,-326.721,-98.022
-0.492,-1.708,-0.083,-39.490,-360.718,-75.745
-0.522,-1.941,0.299,-29.419,-381.836,-42.542
-0.584,-1.989,0.587,-24.719,-389.648,3.296
-0.721,-1.845,0.868,-31.311,-391.541,59.082
-0.760,-1.755,1.263,-62.439,-391.357,109.070
-0.756,-1.615,1.505,-106.873,-374.939,152.222
-0.827,-1.115,1.694,-126.038,-349.304,200.684
-0.808,-0.556,2.042,-115.479,-325.500,231.262
-0.692,0.029,2.452,-116.150,-294.800,235.229
-0.517,0.289,3.109,-121.643,-244.934,218.567
-0.286,0.113,3.354,-107.849,-174.622,177.185
-0.304,0.513,3.215,-58.228,-94.910,172.729
-0.298,0.629,2.756,-1.587,-14.160,164.734
-0.313,0.664,2.380,-2.625,38.086,140.381
-0.333,0.755,1.987,-5.493,76.538,124.573
-0.318,0.727,1.660,-2.502,100.220,105.591
-0.290,0.705,1.487,-20.691,110.596,85.388
-0.250,0.738,1.359,-30.212,116.760,68.542
-0.217,0.770,1.193,-21.240,120.850,49.561
-0.189,0.789,1.048,-11.047,122.070,29.602
-0.165,0.797,0.915,-2.808,122.253,9.583
-0.147,0.832,0.757,7.019,123.108,-8.179
-0.142,0.930,0.621,15.564,120.605,-25.757
-0.140,1.075,0.488,18.433,116.821,-45.349
-0.138,1.325,0.405,10.193,112.793,-72.021
-0.161,1.635,0.379,-9.277,107.910,-110.168
-0.202,1.847,0.261,-29.175,105.957,-163.818
-0.306,1.848,0.095,-41.809,97.717,-230.652
-0.425,1.587,0.015,-57.373,74.524,-301.208
-0.578,1.273,-0.005,-72.571,43.152,-360.779
-0.747,0.822,0.044,-73.792,9.033,-412.292
-0.949,0.163,0.104,-64.941,-19.836,-452.209
-0.963,-0.500,0.400,-35.522,-43.335,-472.717
-1.072,-0.901,0.770,-17.944,-55.176,-468.262
-0.961,-1.922,1.067,-7.385,-59.448,-459.961
-0.909,-2.821,1.297,-8.972,-65.918,-430.969
-0.916,-3.055,1.432,-10.620,-61.401,-352.600
-0.790,-3.424,1.733,-1.465,-44.312,-283.142
-0.628,-3.668,1.866,15.442,-20.264,-220.581
-0.555,-3.178,1.737,44.922,8.606,-134.644
-0.531,-2.366,1.446,82.581,37.170,-60.730
-0.422,-1.806,1.105,109.375,54.749,-26.978
-0.282,-1.563,0.851,110.962,57.556,-17.883
-0.124,-1.488,0.663,103.699,50.293,-11.719
-0.011,-1.335,0.585,76.965,35.767,1.160
0.082,-1.120,0.642,47.913,20.081,15.015
0.165,-0.915,0.747,30.090,9.399,22.766
0.218,-0.744,0.812,23.804,6.409,27.039
0.245,-0.641,0.821,26.123,6.836,29.602
0.247,-0.553,0.810,24.841,7.629,32.288
0.226,-0.452,0.807,21.362,7.812,35.339
0.199,-0.360,0.851,18.677,7.080,36.011
0.181,-0.308,0.870,15.991,8.057,33.325
0.168,-0.299,0.884,11.658,10.498,28.992
0.147,-0.296,0.897,5.432,12.512,23.621
0.130,-0.341,0.890,2.563,14.526,18.433
0.109,-0.398,0.840,4.883,16.113,15.137
0.083,-0.416,0.801,8.179,16.113,14.587
0.074,-0.443,0.776,13.611,14.221,13.733
