0.767,1.483,0.918,-59.448,32.104,-39.734
0.807,1.633,1.065,-62.134,50.476,-61.096
0.790,1.749,1.056,-40.588,73.547,-92.957
0.696,1.799,0.884,-10.864,98.206,-132.446
0.596,1.772,0.681,5.859,121.826,-173.645
0.507,1.744,0.553,-6.348,138.977,-209.717
0.422,1.639,0.500,-31.982,152.527,-239.380
0.293,1.402,0.488,-44.312,162.903,-267.029
0.177,1.068,0.349,-34.607,169.006,-288.818
0.112,0.667,0.195,-17.578,167.542,-298.889
0.102,0.262,0.080,-7.019,159.546,-292.297
0.131,-0.125,-0.026,-1.282,148.926,-270.386
0.124,-0.477,-0.169,1.160,140.625,-237.671
0.057,-0.869,-0.321,1.038,135.376,-194.885
-0.048,-1.330,-0.449,3.357,128.967,-141.541
-0.234,-1.861,-0.670,7.324,118.225,-78.735
-0.487,-2.429,-1.038,10.376,96.619,2.808
-0.714,-2.772,-1.290,-4.761,54.565,113.342
-1.084,-2.746,-1.340,-29.175,-2.441,238.647
-1.290,-2.290,-1.216,-59.387,-62.622,370.361
-1.448,-1.486,-1.037,-76.782,-125.183,488.953
-1.556,-0.544,-0.805,-53.772,-166.443,576.904
-1.613,0.161,-0.508,5.188,-189.697,628.357
-1.593,0.845,-0.093,64.819,-203.918,648.743
-1.432,1.642,0.440,121.216,-215.942,643.616
-0.991,2.399,1.120,145.935,-222.961,612.549
-0.476,3.380,1.726,103.333,-195.374,567.261
0.082,4.000,2.111,22.705,-126.099,499.695
0.407,4.000,2.095,-29.846,-44.189,408.936
0.233,4.000,1.901,1.038,13.489,292.603
0.176,4.000,1.723,3.174,43.274,151.062
-0.032,4.000,1.414,13.794,84.656,6.470
-0.332,3.760,1.019,29.480,117.004,-97.839
-0.510,3.043,0.682,39.368,130.371,-169.617
-0.421,2.639,0.541,40.161,135.010,-216.003
-0.259,2.561,0.410,33.020,148.010,-253.723
-0.178,2.509,0.212,22.888,173.157,-298.889
-0.285,2.307,-0.017,20.935,198.242,-344.971
-0.420,1.951,-0.249,18.066,209.290,-384.094
-0.522,1.552,-0.386,7.324,201.843,-412.109
-0.599,1.109,-0.427,-7.385,187.500,-427.856
-0.585,0.693,-0.410,-24.048,172.058,-432.312
