sAM

0.895,-0.504,-0.950,-76.111,-118.042,-56.274
1.690,-0.635,0.351,-21.240,-214.966,-61.157
1.510,-0.184,-0.041,-290.466,-170.105,-46.814
1.916,-0.137,0.132,-313.049,-90.515,-47.180
1.482,-0.411,-0.116,-167.480,-74.280,-37.170
1.349,-0.727,-0.426,-70.251,-77.271,-36.194
1.173,-0.791,-0.083,-70.496,-117.188,-24.841
1.249,-0.770,0.237,-85.144,-101.746,-6.592
1.214,-0.767,0.268,-80.994,-85.449,15.625
1.008,-0.671,0.238,-89.111,-69.824,37.231
1.089,-0.433,0.013,-101.929,-29.236,58.167
1.037,-0.323,-0.000,-93.262,-6.470,70.313
0.946,-0.199,-0.036,-77.942,-7.507,74.646
0.894,-0.171,-0.012,-80.933,-20.813,64.636
0.837,-0.144,0.051,-88.318,-30.701,50.171
0.772,-0.089,0.163,-86.975,-35.400,39.001
0.646,0.016,0.299,-79.895,-48.462,31.921
0.482,0.235,0.503,-85.083,-68.970,23.926
0.286,0.547,0.654,-100.525,-87.585,5.981
0.040,0.966,0.766,-116.272,-104.126,-24.353
-0.158,1.358,0.692,-129.883,-133.179,-70.190
-0.408,1.648,0.656,-142.395,-163.818,-132.141
-0.629,1.820,0.525,-145.386,-153.564,-207.214
-0.860,1.610,-0.188,-184.937,-71.838,-299.194
-1.143,0.658,-1.401,-412.170,-8.667,-399.902
-0.267,0.778,-0.189,-914.917,-43.945,-420.532
-0.803,2.524,0.585,-880.371,-285.950,-347.168
-1.488,0.297,0.443,-144.226,-430.420,-502.319
-1.391,0.289,0.466,-0.305,-302.124,-506.714
-1.382,0.120,-0.112,136.963,-163.025,-504.456
-1.635,-0.179,-0.140,152.649,-167.419,-567.749
-1.876,-0.442,0.313,118.469,-218.567,-609.863
-1.798,-0.989,0.350,126.648,-197.815,-643.188
-1.672,-1.711,0.435,148.560,-181.519,-652.588
-1.242,-2.643,0.604,137.268,-177.795,-631.165
-0.700,-3.606,0.921,113.708,-157.043,-589.355
0.177,-4.000,0.904,99.426,-123.962,-515.503
0.499,-4.000,0.977,57.495,-106.567,-411.316
0.690,-4.000,1.320,-1.282,-123.657,-279.236
0.502,-4.000,1.918,-45.410,-118.896,-142.212
0.283,-4.000,2.298,-39.551,-63.110,-5.676
0.003,-3.897,2.179,-0.610,35.095,127.380
-0.322,-3.059,1.874,34.790,128.906,215.759
-0.450,-2.564,1.476,43.213,191.833,256.042
-0.512,-2.327,1.361,18.494,214.172,281.616
-0.503,-2.273,1.274,-10.437,221.802,311.279
-0.500,-2.291,1.196,-26.611,229.065,348.145
-0.526,-2.124,1.068,-33.386,235.229,390.686
-0.606,-1.835,0.890,-36.987,242.676,422.729
-0.665,-1.481,0.696,-45.410,241.821,444.275
-0.721,-1.248,0.507,-54.993,243.591,451.965
-0.693,-0.918,0.268,-47.546,250.916,449.219
-0.605,-0.484,0.093,-37.109,249.878,438.477
-0.497,-0.005,-0.008,-46.143,228.088,416.748
-0.414,0.339,-0.070,-57.617,202.393,373.718
-0.314,0.567,-0.105,-61.890,178.772,323.730
-0.235,0.764,-0.087,-66.345,155.884,276.062
-0.180,1.029,-0.152,-69.397,136.780,233.215
-0.164,1.355,-0.254,-67.627,116.577,187.866
-0.192,1.744,-0.408,-56.885,93.384,134.399
-0.298,2.169,-0.564,-40.710,65.857,69.092
-0.481,2.509,-0.740,-33.203,29.236,-11.536
-0.574,2.473,-0.828,-39.490,-15.015,-104.919
-0.662,2.182,-0.836,-51.025,-66.589,-200.867
-0.878,1.912,-0.588,-81.055,-129.456,-287.292
-1.131,1.629,-0.213,-110.291,-188.599,-365.356
-1.260,1.205,0.100,-126.343,-231.323,-438.538
-1.427,0.785,0.449,-123.718,-261.230,-498.901
-1.569,0.368,0.828,-105.225,-278.015,-545.410
-1.560,-0.122,1.201,-75.134,-275.696,-586.792
-1.569,-0.707,1.165,-11.108,-241.943,-621.216
-1.525,-1.364,0.870,65.857,-189.270,-636.658
-1.288,-2.016,0.855,82.764,-153.381,-624.023
-0.806,-2.948,1.033,49.316,-134.094,-589.417
-0.213,-3.944,1.284,-9.583,-125.732,-524.170
0.415,-4.000,1.691,-76.965,-127.930,-420.166
0.781,-4.000,2.295,-97.534,-114.624,-277.161
0.704,-4.000,2.728,-79.102,-52.979,-145.325
0.476,-4.000,1.836,-51.208,51.208,-42.114
0.080,-4.000,1.905,-58.411,95.825,83.435
-0.369,-3.801,1.980,-46.692,135.620,210.266
-0.686,-3.321,1.686,-17.761,197.998,292.847
-0.886,-2.901,1.433,6.226,240.112,355.530
-1.097,-2.266,1.560,18.372,245.544,417.297
-1.238,-1.749,1.438,38.757,260.986,457.642
-1.201,-1.413,1.172,49.927,284.424,479.248
-1.169,-1.054,0.959,37.109,291.077,491.211
-1.165,-0.790,0.669,17.944,286.926,487.610
-1.116,-0.574,0.462,-13.428,277.527,477.661
-0.966,-0.333,0.189,-36.560,270.752,465.393
-0.748,0.084,-0.053,-38.513,259.338,443.604
-0.501,0.289,-0.225,-31.799,241.821,401.550
-0.293,0.387,-0.351,-5.981,223.389,350.342
-0.177,0.576,-0.475,22.034,200.562,311.707
-0.054,0.834,-0.594,38.635,170.410,279.968
0.058,1.086,-0.642,45.044,134.216,240.540
0.276,1.112,-0.682,48.706,99.304,190.308
0.216,1.167,-0.536,68.542,68.054,144.348
0.486,0.840,-0.553,106.140,57.007,104.004
0.676,0.253,-0.476,137.329,39.063,76.965
0.506,0.397,-0.244,148.437,7.812,79.834
0.522,0.632,-0.152,173.279,-2.380,81.055
0.608,0.490,0.186,164.551,-12.024,50.598
0.653,0.011,0.492,139.465,-12.024,17.822
0.680,0.255,0.484,128.357,14.709,14.404
0.752,0.125,0.281,135.071,46.082,10.864
0.826,0.144,0.057,119.812,56.763,-1.404
0.830,0.138,-0.017,73.486,31.128,-27.283
0.875,-0.014,0.155,2.930,-9.827,-53.650
0.902,-0.194,0.300,-43.030,-41.565,-62.988
0.939,-0.301,0.228,-47.974,-46.814,-58.838
0.968,-0.408,0.151,-33.997,-42.358,-56.580
0.982,-0.494,0.219,-15.991,-44.128,-53.894
0.988,-0.528,0.300,6.836,-43.518,-46.082
1.025,-0.542,0.328,18.066,-44.434,-39.246
1.016,-0.561,0.313,14.709,-50.720,-36.682
0.949,-0.503,0.273,7.568,-57.251,-34.363
0.912,-0.420,0.322,-2.869,-62.805,-33.203
0.900,-0.371,0.457,-15.869,-64.514,-35.522
0.888,-0.367,0.518,-24.292,-59.265,-37.842
0.872,-0.399,0.508,-34.119,-52.368,-38.269
0.867,-0.471,0.394,-44.922,-46.692,-39.368
0.870,-0.521,0.324,-59.570,-44.006,-43.457
0.893,-0.557,0.386,-74.280,-46.814,-48.157
0.897,-0.568,0.466,-76.599,-47.546,-49.133
0.876,-0.531,0.585,-71.838,-46.204,-45.349
0.904,-0.470,0.579,-55.969,-39.490,-42.603
0.856,-0.425,0.501,-40.344,-30.701,-48.218
0.779,-0.413,0.437,-40.039,-27.832,-59.692
0.786,-0.438,0.354,-47.302,-27.405,-65.247
0.772,-0.411,0.303,-51.575,-31.860,-59.143
0.767,-0.380,0.272,-54.382,-41.626,-49.927
0.774,-0.398,0.314,-56.885,-53.223,-44.922
0.766,-0.436,0.408,-55.237,-63.293,-39.368
0.781,-0.442,0.511,-46.326,-69.214,-29.236
0.776,-0.418,0.512,-18.799,-68.359,-15.320
0.755,-0.372,0.393,0.549,-61.890,-3.296
0.759,-0.364,0.399,2.991,-65.491,0.793
0.777,-0.323,0.494,13.489,-74.402,1.404
0.747,-0.278,0.477,24.841,-79.651,-3.845
0.785,-0.344,0.499,21.484,-93.079,-18.860
0.741,-0.326,0.625,15.442,-108.459,-36.682
0.748,-0.361,0.498,16.541,-107.300,-47.485
0.640,-0.430,0.561,23.132,-103.027,-47.119
0.699,-0.455,0.693,21.301,-95.886,-40.710
0.837,-0.534,0.746,25.574,-86.975,-31.311
0.688,-0.471,0.549,65.186,-76.538,-14.038
0.658,-0.365,0.467,62.927,-84.229,-1.526
0.642,-0.298,0.480,-53.223,-83.008,-6.165
0.603,-0.168,0.484,-176.453,-84.656,-18.433
Sample End

-0.071,2.145,-0.697,75.684,-228.271,-225.159
-0.364,2.112,-0.827,97.717,-264.648,-325.562
-0.781,1.640,-0.737,111.389,-291.321,-421.875
-1.263,1.095,-0.583,134.033,-308.289,-493.713
-1.760,0.655,-0.406,170.959,-306.519,-531.372
-2.078,0.184,-0.119,194.824,-304.565,-558.228
-2.276,-0.262,0.307,210.937,-312.805,-579.590
-2.277,-0.716,0.787,222.046,-302.734,-583.252
-2.173,-1.087,1.256,231.323,-258.728,-568.726
-1.868,-1.634,1.566,233.093,-185.852,-544.434
-1.252,-2.392,1.603,172.974,-96.008,-525.269
-0.686,-3.423,1.570,34.485,-25.330,-510.864
-0.066,-4.000,1.713,-86.975,-5.127,-470.337
0.179,-4.000,2.096,-62.988,-29.297,-390.747
-0.120,-4.000,2.618,-39.124,-67.993,-324.768
-0.785,-4.000,2.832,-57.007,-74.341,-260.559
-1.183,-4.000,2.658,-45.288,-5.127,-100.281
-1.371,-2.896,2.062,-32.104,107.666,159.241
-1.414,-2.049,1.403,19.836,176.025,264.404
-1.263,-1.920,1.224,-50.537,196.228,276.062
-1.099,-1.997,1.339,-113.342,203.735,284.180
-0.996,-2.131,1.305,-136.169,224.854,288.208
-0.986,-2.140,1.412,-131.470,220.215,299.988
-1.157,-1.876,1.620,-126.160,213.501,333.740
-1.324,-1.528,1.735,-105.713,239.807,372.192
-1.354,-0.907,1.493,-63.904,292.053,413.025
-1.355,-0.196,0.749,14.404,347.229,449.707
-1.155,0.214,0.247,33.997,361.694,450.256
-0.823,0.453,-0.080,22.400,330.383,425.659
-0.511,0.582,-0.311,22.034,270.935,390.015
-0.279,0.692,-0.428,-4.761,214.722,350.159
-0.085,0.862,-0.643,-27.405,173.279,308.105
0.083,1.119,-0.750,-34.973,129.456,258.728
0.239,1.376,-0.736,-51.086,88.257,195.618
0.263,1.600,-0.793,-70.007,54.565,125.916
0.293,1.955,-0.834,-87.769,13.672,63.660
0.325,2.294,-0.849,-107.605,-27.710,-0.610
0.392,2.378,-0.820,-120.972,-61.401,-81.970
0.229,2.287,-0.955,-115.112,-78.552,-171.509
-0.005,2.161,-1.063,-97.290,-99.548,-252.991
-0.304,1.801,-0.887,-59.937,-145.569,-331.543
-0.659,1.371,-0.575,-13.428,-196.472,-391.846
-1.006,1.174,-0.206,21.179,-241.699,-425.293
-1.353,1.024,0.473,46.265,-278.870,-458.557
-1.584,0.590,0.833,76.721,-280.579,-504.211
-1.661,-0.112,0.844,118.103,-256.409,-541.504
-1.586,-0.673,0.691,146.179,-233.032,-544.678
-1.423,-1.678,0.855,150.330,-227.722,-558.716
-1.158,-2.707,1.110,129.517,-220.703,-556.641
-0.988,-3.722,1.506,135.681,-209.839,-513.733
-0.835,-4.000,1.958,113.342,-188.354,-416.199
-0.657,-4.000,2.541,43.945,-149.597,-250.122
-0.760,-4.000,2.845,19.775,-81.482,-104.370
-0.823,-3.873,2.669,27.039,12.573,0.671
-0.934,-3.283,2.220,47.485,101.868,90.027
-1.059,-2.540,1.840,86.914,163.879,165.588
-1.043,-1.932,1.519,125.549,195.496,223.145
-0.961,-1.541,1.253,138.184,215.759,259.583
-0.846,-1.260,1.014,138.855,226.135,278.625
-0.692,-1.073,0.940,117.737,223.633,283.142
-0.554,-0.987,0.959,86.548,218.811,280.701
-0.528,-0.912,1.023,56.580,228.271,279.175
-0.537,-0.651,0.857,35.583,258.789,285.522
-0.440,-0.375,0.542,29.846,290.222,288.086
-0.294,-0.208,0.161,18.188,306.335,279.297
-0.093,-0.180,-0.098,5.554,290.649,261.169
0.126,-0.231,-0.180,9.216,247.620,240.173
0.310,-0.296,-0.200,22.339,200.745,225.159
0.336,-0.288,-0.060,45.471,155.090,221.008
0.319,-0.193,0.010,67.505,126.221,221.619
0.389,-0.030,-0.008,76.721,113.586,220.764
0.407,0.177,0.008,73.547,98.206,211.853
0.382,0.338,0.022,73.486,78.064,190.125
0.377,0.390,-0.025,79.346,57.434,159.729
0.421,0.397,-0.068,86.121,35.522,127.686
0.433,0.280,-0.008,89.172,19.653,97.046
0.532,0.079,0.080,96.680,18.311,65.979
0.624,-0.122,0.074,99.365,30.273,41.321
0.691,-0.290,0.018,75.989,44.189,22.095
0.638,-0.518,0.110,43.762,42.236,11.169
0.684,-0.590,0.081,29.114,36.499,20.508
0.717,-0.467,-0.021,15.198,31.067,40.344
0.689,-0.395,-0.054,-8.972,14.771,45.410
0.668,-0.385,0.171,-36.072,-5.615,39.734
0.771,-0.224,0.212,-29.785,-12.817,24.292
